step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
14,100,70,True,OVERPRINT,180.0,INTERIOR,True,3.799999999999999,242.3762376237624,2.5,310.09900990099004,2.5,-1.8546541279413091,-3.544045437873259,2.5764416458015877,-3.0597301262985934,4.727941419263842,0.23587795514245277,2.9113506888152063,13,14
15,9,6,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,310.09900990099004,2.5,288.71287128712873,0.0,2.5764416458015877,-3.0597301262985934,1.2833030792614728,-3.788552917244,2.911898164515501,0.14527518928860236,3.0566258781038087,14,6
16,10,67,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,4.0,288.71287128712873,0.0,360.0,0.0,1.2833030792614728,-3.788552917244,4.0,-9.797174393178826e-16,4.976780441330364,0.24829258436047683,3.3049184624642853,6,7
17,11,7,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,2.33238075793812,360.0,0.0,338.61386138613864,2.5,4.0,-9.797174393178826e-16,3.724576248390639,-1.4586061051306187,2.9118981645155033,0.14527518928860247,3.4501936517528877,7,15
18,22,15,False,CONTACT_SUPPORT,61.92751306414702,INTERIOR,False,2.33238075793812,338.61386138613864,2.5,360.0,5.0,3.724576248390639,-1.4586061051306187,4.0,-9.797174393178826e-16,2.9118981645155033,0.14527518928860247,3.59546884104149,15,23
19,34,23,False,CONTACT_SUPPORT,61.92751306414702,BOUNDARY,False,2.33238075793812,360.0,5.0,338.61386138613864,7.5,4.0,-9.797174393178826e-16,3.724576248390639,-1.4586061051306187,2.9118981645155033,0.14527518928860247,3.7407440303300925,23,31
20,45,31,False,CONTACT_SUPPORT,61.92751306414702,INTERIOR,False,2.33238075793812,338.61386138613864,7.5,360.0,10.0,3.724576248390639,-1.4586061051306187,4.0,-9.797174393178826e-16,2.9118981645155033,0.14527518928860247,3.886019219618695,31,39
21,57,39,False,CONTACT_SUPPORT,61.92751306414702,BOUNDARY,False,2.33238075793812,360.0,10.0,338.61386138613864,12.5,4.0,-9.797174393178826e-16,3.724576248390639,-1.4586061051306187,2.9118981645155033,0.14527518928860247,4.031294408907297,39,47
22,68,47,False,CONTACT_SUPPORT,61.92751306414702,INTERIOR,False,2.33238075793812,338.61386138613864,12.5,360.0,15.0,3.724576248390639,-1.4586061051306187,4.0,-9.797174393178826e-16,2.9118981645155033,0.14527518928860247,4.1765695981959,47,55
23,80,55,False,CONTACT_SUPPORT,61.92751306414702,BOUNDARY,False,2.33238075793812,360.0,15.0,338.61386138613864,17.5,4.0,-9.797174393178826e-16,3.724576248390639,-1.4586061051306187,2.9118981645155033,0.14527518928860247,4.321844787484502,55,63
24,91,63,False,UNSUPPORTED,61.92751306414702,INTERIOR,False,2.33238075793812,338.61386138613864,17.5,360.0,20.0,3.724576248390639,-1.4586061051306187,4.0,-9.797174393178826e-16,2.9118981645155033,0.14527518928860247,4.4671199767731045,63,71
25,95,95,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,4.0,360.0,20.0,288.71287128712873,20.0,4.0,-9.797174393178826e-16,1.2833030792614728,-3.788552917244,4.976780441330364,0.24829258436047683,4.715412561133581,71,70
26,90,62,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,2.33238075793812,288.71287128712873,20.0,310.09900990099004,17.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,4.8606877504221835,70,62
27,108,91,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,17.5,242.3762376237624,17.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,5.096565705564636,62,61
28,89,91,False,CONTACT_SUPPORT,180.0,INTERIOR,True,3.799999999999999,242.3762376237624,17.5,310.09900990099004,17.5,-1.8546541279413091,-3.544045437873259,2.5764416458015877,-3.0597301262985934,4.727941419263842,0.23587795514245277,5.332443660707089,61,62
29,78,54,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,310.09900990099004,17.5,288.71287128712873,15.0,2.5764416458015877,-3.0597301262985934,1.2833030792614728,-3.788552917244,2.911898164515501,0.14527518928860236,5.477718849995691,62,54
30,67,46,False,CONTACT_SUPPORT,61.92751306414702,INTERIOR,False,2.33238075793812,288.71287128712873,15.0,310.09900990099004,12.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,5.622994039284293,54,46
31,66,84,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,12.5,242.3762376237624,12.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,5.858871994426746,46,45
32,101,37,True,OVERPRINT,120.96375653207355,INTERIOR,False,2.332380757938121,242.3762376237624,12.5,263.76237623762376,10.0,-1.8546541279413091,-3.544045437873259,-0.4346086003418975,-3.9763193237602104,2.9118981645155033,0.14527518928860247,6.004147183715348,45,37
33,54,37,False,CONTACT_SUPPORT,180.0,INTERIOR,True,2.332380757938121,263.76237623762376,10.0,242.3762376237624,12.5,-0.4346086003418975,-3.9763193237602104,-1.8546541279413091,-3.544045437873259,2.9118981645155033,0.14527518928860247,6.149422373003951,37,45
34,65,45,False,CONTACT_SUPPORT,61.9275130641471,INTERIOR,False,2.332380757938121,242.3762376237624,12.5,263.76237623762376,15.0,-1.8546541279413091,-3.544045437873259,-0.4346086003418975,-3.9763193237602104,2.9118981645155033,0.14527518928860247,6.294697562292553,45,53
35,109,87,True,OVERPRINT,120.96375653207355,INTERIOR,True,4.0,263.76237623762376,15.0,192.47524752475252,15.0,-0.4346086003418975,-3.9763193237602104,-3.9055576822544276,-0.8640712879059361,4.976780441330362,0.24829258436047671,6.54299014665303,53,52
