step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
54,55,55,False,CONTACT_SUPPORT,60.001455561654744,BOUNDARY,False,4.999889998789975,224.99999999999997,20.0,270.0,18.46153846153846,-2.8284271247461916,-2.8284271247461885,-7.347880794884119e-16,-4.0,3.498066366782486,0.17451923963933455,9.045842307772531,43,39
55,48,48,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,270.0,18.46153846153846,270.0,15.384615384615385,-7.347880794884119e-16,-4.0,-7.347880794884119e-16,-4.0,3.076923076923075,0.1535083155975831,9.199350623370114,39,34
56,42,42,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789975,270.0,15.384615384615385,224.99999999999997,13.846153846153847,-7.347880794884119e-16,-4.0,-2.8284271247461916,-2.8284271247461885,3.498066366782485,0.1745192396393345,9.373869863009448,34,29
57,35,35,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,224.99999999999997,13.846153846153847,224.99999999999997,10.76923076923077,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,9.527378178607032,29,25
58,29,29,False,CONTACT_SUPPORT,59.99927221917261,INTERIOR,False,4.999889998789972,224.99999999999997,10.76923076923077,180.0,9.23076923076923,-2.8284271247461916,-2.8284271247461885,-4.0,4.898587196589413e-16,3.4980663667824823,0.17451923963933438,9.701897418246366,25,20
59,28,28,False,CONTACT_SUPPORT,60.00145556165476,INTERIOR,False,4.999889998789974,180.0,9.23076923076923,135.0,10.76923076923077,-4.0,4.898587196589413e-16,-2.82842712474619,2.8284271247461903,3.4980663667824836,0.17451923963933444,9.8764166578857,20,24
60,34,34,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,135.0,10.76923076923077,135.0,13.846153846153847,-2.82842712474619,2.8284271247461903,-2.82842712474619,2.8284271247461903,3.0769230769230766,0.15350831559758318,10.029924973483284,24,28
61,62,39,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,135.0,13.846153846153847,90.0,15.384615384615385,-2.82842712474619,2.8284271247461903,2.4492935982947064e-16,4.0,3.498066366782483,0.17451923963933444,10.204444213122619,28,32
62,39,39,False,CONTACT_SUPPORT,180.0,INTERIOR,True,4.999889998789974,90.0,15.384615384615385,135.0,13.846153846153847,2.4492935982947064e-16,4.0,-2.82842712474619,2.8284271247461903,3.498066366782483,0.17451923963933444,10.378963452761953,32,28
63,40,40,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789974,135.0,13.846153846153847,180.0,15.384615384615385,-2.82842712474619,2.8284271247461903,-4.0,4.898587196589413e-16,3.498066366782483,0.17451923963933444,10.553482692401287,28,33
64,47,47,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,180.0,15.384615384615385,180.0,18.46153846153846,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.076923076923075,0.1535083155975831,10.70699100799887,33,38
65,53,53,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789974,180.0,18.46153846153846,135.0,20.0,-4.0,4.898587196589413e-16,-2.82842712474619,2.8284271247461903,3.4980663667824836,0.17451923963933444,10.881510247638204,38,42
66,52,52,False,UNSUPPORTED,60.001455561654744,BOUNDARY,False,4.999889998789974,135.0,20.0,90.0,18.46153846153846,-2.82842712474619,2.8284271247461903,2.4492935982947064e-16,4.0,3.4980663667824836,0.17451923963933444,11.056029487277538,42,37
67,46,46,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,90.0,18.46153846153846,90.0,15.384615384615385,2.4492935982947064e-16,4.0,2.4492935982947064e-16,4.0,3.076923076923075,0.1535083155975831,11.20953780287512,37,32
68,38,38,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789974,90.0,15.384615384615385,45.0,13.846153846153847,2.4492935982947064e-16,4.0,2.8284271247461903,2.82842712474619,3.498066366782483,0.17451923963933444,11.384057042514454,32,27
69,37,37,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789974,45.0,13.846153846153847,0.0,15.384615384615385,2.8284271247461903,2.82842712474619,4.0,0.0,3.498066366782483,0.17451923963933444,11.558576282153789,27,31
70,45,45,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,5.0,0.0,15.384615384615385,0.0,18.46153846153846,4.0,0.0,4.0,0.0,3.076923076923075,0.1535083155975831,11.712084597751371,31,36
71,50,50,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,4.999889998789974,0.0,18.46153846153846,45.0,20.0,4.0,0.0,2.8284271247461903,2.82842712474619,3.4980663667824836,0.17451923963933444,11.886603837390705,36,41
72,51,51,False,CONTACT_SUPPORT,60.001455561654744,BOUNDARY,False,4.999889998789974,45.0,20.0,90.0,18.46153846153846,2.8284271247461903,2.82842712474619,2.4492935982947064e-16,4.0,3.4980663667824836,0.17451923963933444,12.06112307703004,41,37
